Asian,Black or African American,A race/ethnicity not listed here,White,Hispanic or Latinx/e,Native American or Alaska Native,Native Hawaiian or Pacific Islander,Are you enrolled in Trinity College of Arts and Sciences or the Pratt School of Engineering?,Are you a first-generation college student?,Are you a recruited varsity athlete?,Are you an international student?,What do you estimate is your immediate family's total annual income?,Do you receive financial aid from Duke?,Which major are you most inclined towards?,How interested are you in Greek life at Duke?,How interested are you in Selective Living Groups at Duke?,How interested are you in applying to / joining a Living Learning Community at Duke?,My opinion of QuadEx—the new residential system—is:,How likely are you to tent?,Are you in a FOCUS?,Have you received treatment for your mental health before?,Are you currently receiving treatment for your mental health?,What type of secondary school did you attend?,Did you hire a private college admissions counselor during the admissions process?,How many colleges and universities did you apply to?,How many colleges and universities were you accepted to?,Did you apply to Duke via the Early Decision process?,Were you accepted off the waitlist from Duke?,Was Duke your first choice?,Did you take a gap year?,Which class were you admitted in?,Did any of your parents or siblings attend Duke?
X,,,,,,,Trinity,No,No,No,,,Economics,Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Neither likely nor unlikely,Yes,No,,Public (non-charter),No,20,8,No,No,No,Yes,Class of 2024,No
X,,,,,,,Trinity,Yes,No,No,"$125,000-$250,000",Yes,Economics,Slightly interested,Moderately interested,Not interested at all,Somewhat favorable,Neither likely nor unlikely,No,No,,Public (non-charter),No,1,1,Yes,No,Yes,No,,Yes
X,,,,,,,Trinity,No,No,No,"$250,000-$500,000",No,International Comparative Studies,Not interested at all,Not interested at all,Not interested at all,Strongly unfavorable,Very unlikely,Yes,No,,Public (non-charter),Yes,13,9,No,No,No,No,,No
,X,,X,,,,Trinity,No,No,No,"$125,000-$250,000",No,Public Policy Studies,Very interested,Slightly interested,Not interested at all,Somewhat favorable,Very likely,Yes,Yes,No,Public (non-charter),Yes,4,4,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Earth and Climate Sciences,Not interested at all,Moderately interested,Moderately interested,Neither favorable nor unfavorable,Somewhat likely,No,Prefer not to say,,Public (non-charter),No,10,4,No,No,No,No,,No
,X,,,,,,Pratt,Yes,No,No,"Below $40,000",Yes,Environmental Engineering,Not interested at all,Not interested at all,Not interested at all,Strongly unfavorable,Somewhat unlikely,No,No,,Public (non-charter),No,8,3,Yes,No,Yes,No,,No
,X,,,,,,Pratt,Yes,No,No,"Below $40,000",Yes,Biomedical Engineering,Slightly interested,Not interested at all,Not interested at all,Somewhat unfavorable,Somewhat likely,No,No,,Public (non-charter),No,5,5,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,Yes,"$80,000-$125,000",No,Psychology,Not interested at all,Slightly interested,Not interested at all,Strongly favorable,Somewhat unlikely,Yes,No,,Public (non-charter),Yes,4,2,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"Above $500,000",No,Global Health**,Slightly interested,Very interested,Moderately interested,Somewhat unfavorable,Very likely,No,No,,Public (non-charter),No,30,12,No,No,No,No,,No
,,,X,,,,Trinity,No,No,No,"Above $500,000",No,Political Science,Slightly interested,Slightly interested,Slightly interested,Somewhat unfavorable,Somewhat unlikely,Yes,Yes,Yes,Public (non-charter),No,23,11,No,No,No,No,,No
,,,X,,,,Pratt,No,No,No,"Above $500,000",No,Mechanical Engineering,Very interested,Very interested,Slightly interested,Somewhat unfavorable,Somewhat likely,No,Yes,No,Public (non-charter),Yes,19,11,Yes,No,Yes,No,,Yes
,,,X,X,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Public Policy Studies,Slightly interested,Slightly interested,Very interested,Neither favorable nor unfavorable,Somewhat likely,Yes,No,,Public (non-charter),No,7,6,No,No,Yes,No,,No
,X,,X,,,,Trinity,No,No,No,"$40,000-$80,000",Yes,Neuroscience,Slightly interested,Moderately interested,Moderately interested,Neither favorable nor unfavorable,Very likely,No,No,,Public (non-charter),No,5,5,Yes,No,Yes,No,,No
X,,,,X,,,Trinity,No,No,Yes,"Above $500,000",No,Computer Science,Not interested at all,Moderately interested,Not interested at all,Somewhat favorable,Very likely,No,Yes,No,Private (non-denominational),Yes,13,1,Yes,No,Yes,Yes,Class of 2024,Yes
,,,X,,,,Pratt,No,No,No,"$80,000-$125,000",No,Mechanical Engineering,Moderately interested,Slightly interested,Not interested at all,Strongly unfavorable,Very likely,No,No,,Private (non-denominational),No,3,3,Yes,No,Yes,No,,Yes
X,,,,,,,Trinity,No,No,No,"$40,000-$80,000",Yes,Undecided,Slightly interested,Slightly interested,Not interested at all,Neither favorable nor unfavorable,Somewhat likely,Yes,No,,Public (non-charter),No,7,5,No,Yes,No,No,,No
X,,,,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Environmental Sciences,Not interested at all,Moderately interested,Moderately interested,Somewhat unfavorable,Very likely,Yes,No,,Public (non-charter),No,1,1,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",No,Public Policy Studies,Slightly interested,Moderately interested,Slightly interested,Somewhat favorable,Very likely,Yes,No,,Public (non-charter),No,10,6,No,No,No,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Public Policy Studies,Slightly interested,Moderately interested,Moderately interested,Neither favorable nor unfavorable,Very likely,No,No,,Public (non-charter),Yes,6,3,No,No,No,Yes,Class of 2024,No
,,,,X,,,Trinity,No,No,No,"$250,000-$500,000",Yes,Global Health**,Slightly interested,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Somewhat unlikely,Yes,No,,Public (non-charter),No,15,8,No,No,Yes,No,,No
,,X,,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Neuroscience,Not interested at all,Not interested at all,Not interested at all,Somewhat unfavorable,Somewhat unlikely,No,No,,Public (non-charter),No,3,1,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Computer Science,Slightly interested,Moderately interested,Extremely interested,Neither favorable nor unfavorable,Somewhat likely,Yes,No,,Public (non-charter),No,3,1,Yes,No,Yes,No,,No
,,X,X,,X,,Trinity,Yes,No,No,"Below $40,000",Yes,Biology,Extremely interested,Moderately interested,Moderately interested,Strongly unfavorable,Somewhat likely,No,Yes,No,Public (charter),No,15,10,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Economics,Extremely interested,Not interested at all,Not interested at all,Strongly unfavorable,Somewhat likely,No,No,,Public (non-charter),No,16,4,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Economics,Moderately interested,Moderately interested,Not interested at all,Somewhat favorable,Somewhat likely,No,No,,Public (non-charter),No,21,1,Yes,No,Yes,No,,No
,,,X,X,,,Pratt,No,No,No,"Above $500,000",No,Electrical and Computer Engineering,Very interested,Moderately interested,Slightly interested,Strongly unfavorable,Very likely,No,No,,Private (non-denominational),Yes,8,1,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Public Policy Studies,Not interested at all,Moderately interested,Moderately interested,Somewhat unfavorable,Somewhat unlikely,Yes,Yes,Yes,Public (charter),Yes,20,7,No,No,No,No,,No
X,X,,,X,X,,Trinity,Yes,No,No,"$80,000-$125,000",Yes,Psychology,Not interested at all,Very interested,Very interested,Strongly unfavorable,Very likely,No,Yes,Yes,Private (parochial),Yes,12,3,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"Above $500,000",No,Biology,Slightly interested,Not interested at all,Not interested at all,Somewhat unfavorable,Somewhat likely,No,No,,Public (non-charter),Yes,7,2,Yes,No,Yes,No,,No
,,,,X,,,Pratt,No,No,No,"$125,000-$250,000",Yes,Biomedical Engineering,Not interested at all,Slightly interested,Slightly interested,Somewhat unfavorable,Somewhat likely,No,No,,Public (non-charter),No,8,7,No,No,No,No,,No
,,,X,,,,Pratt,No,No,No,"$125,000-$250,000",Yes,Mechanical Engineering,Not interested at all,Slightly interested,Moderately interested,Somewhat unfavorable,Very unlikely,No,Yes,No,Public (non-charter),Yes,11,8,No,No,No,No,,No
X,,,,,,,Trinity,No,No,No,"$80,000-$125,000",No,Psychology,Not interested at all,Moderately interested,Moderately interested,Neither favorable nor unfavorable,Very likely,No,No,,Public (non-charter),No,20,5,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,English,Not interested at all,Slightly interested,Very interested,Somewhat unfavorable,Somewhat unlikely,No,Yes,No,Public (non-charter),No,17,9,No,No,No,Yes,Class of 2024,No
X,,,X,,,,Trinity,No,No,No,"Above $500,000",No,Political Science,Not interested at all,Not interested at all,Not interested at all,Neither favorable nor unfavorable,Somewhat likely,No,Yes,Yes,Private (non-denominational),No,22,11,Yes,No,Yes,No,,Yes
X,,,,,,,Pratt,No,No,No,"$250,000-$500,000",No,Electrical and Computer Engineering,Not interested at all,Slightly interested,Slightly interested,Somewhat unfavorable,Somewhat unlikely,No,No,,Private (non-denominational),Yes,19,8,No,No,No,No,,No
,,,X,,,,Trinity,Yes,No,No,"$40,000-$80,000",Yes,Physics,Not interested at all,Not interested at all,Moderately interested,Somewhat unfavorable,Very unlikely,Yes,Yes,No,Public (non-charter),No,4,3,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"$40,000-$80,000",No,Sociology,Slightly interested,Slightly interested,Not interested at all,Strongly unfavorable,Somewhat unlikely,Yes,No,,Public (charter),,,,No,No,No,No,,Yes
,,,X,X,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Biology,Slightly interested,Slightly interested,Slightly interested,Somewhat unfavorable,Very likely,No,Yes,No,Public (non-charter),No,9,1,Yes,No,Yes,No,,No
,,,X,X,,,Trinity,No,No,No,"$125,000-$250,000",No,Neuroscience,Slightly interested,Very interested,Not interested at all,Somewhat unfavorable,Neither likely nor unlikely,No,No,,Public (non-charter),No,4,4,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"$250,000-$500,000",No,Computer Science,Moderately interested,Moderately interested,Moderately interested,Somewhat favorable,Neither likely nor unlikely,No,No,,Public (non-charter),Yes,17,10,No,No,No,No,,No
X,,,,,,,Pratt,No,No,No,"$125,000-$250,000",Yes,Electrical and Computer Engineering,Not interested at all,Moderately interested,Slightly interested,Strongly unfavorable,Somewhat likely,No,No,,Private (non-denominational),No,2,2,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Neuroscience,Not interested at all,Moderately interested,Slightly interested,Neither favorable nor unfavorable,Very likely,No,No,,Public (non-charter),Yes,,,Yes,No,Yes,No,,Yes
,,,X,,,,Pratt,No,No,No,"$125,000-$250,000",Yes,Mechanical Engineering,Slightly interested,Very interested,Not interested at all,Somewhat unfavorable,Somewhat likely,Yes,No,,Public (non-charter),No,11,2,Yes,No,Yes,No,,No
,,,X,,,,Pratt,No,No,No,"Above $500,000",No,Biomedical Engineering,Very interested,Very interested,Slightly interested,Somewhat unfavorable,Somewhat likely,No,No,,Private (non-denominational),Yes,17,1,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"$40,000-$80,000",Yes,Public Policy Studies,Not interested at all,Moderately interested,Very interested,Somewhat favorable,Somewhat unlikely,Yes,No,,Public (non-charter),No,2,2,Yes,No,Yes,No,,No
X,,,X,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,"Program II (self-designed degree, BA or BS)",Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Very unlikely,No,Yes,Yes,Public (non-charter),No,25,13,No,No,No,Yes,Class of 2024,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",No,Environmental Engineering,Not interested at all,Not interested at all,Very interested,Somewhat favorable,Very unlikely,No,Yes,Yes,Public (non-charter),No,18,15,No,No,Yes,No,,No
,X,,X,X,,,Pratt,No,No,No,"$250,000-$500,000",Yes,Electrical and Computer Engineering,Very interested,Moderately interested,Moderately interested,Strongly unfavorable,Very likely,No,Yes,No,Public (non-charter),No,18,14,No,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Computer Science,Not interested at all,Very interested,Moderately interested,Strongly unfavorable,Very likely,No,Yes,Yes,Public (non-charter),No,3,3,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,Yes,"$40,000-$80,000",Yes,Statistical Science,Slightly interested,Not interested at all,Slightly interested,Somewhat unfavorable,Neither likely nor unlikely,No,No,,Private (non-denominational),No,8,1,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"Above $500,000",No,Mathematics,Not interested at all,Not interested at all,Not interested at all,Somewhat unfavorable,Somewhat likely,No,Yes,Yes,Private (non-denominational),Yes,2,2,Yes,No,Yes,No,,Yes
X,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Undecided,Not interested at all,Slightly interested,Moderately interested,Somewhat unfavorable,Somewhat unlikely,No,Yes,No,Private (non-denominational),No,4,1,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",No,Public Policy Studies,Not interested at all,Moderately interested,Slightly interested,Somewhat unfavorable,Somewhat likely,Yes,No,,Public (non-charter),Yes,1,1,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,,No,Environmental Engineering,Not interested at all,Slightly interested,Moderately interested,Somewhat unfavorable,Somewhat unlikely,Yes,No,,Public (non-charter),Yes,5,5,Yes,No,Yes,Yes,Class of 2024,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Public Policy Studies,Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,Yes,No,,Private (non-denominational),No,10,4,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Psychology,Moderately interested,Slightly interested,Not interested at all,Strongly unfavorable,Somewhat unlikely,No,Yes,Yes,Public (non-charter),No,1,1,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Global Health**,Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,No,Yes,No,Public (non-charter),No,4,4,Yes,No,Yes,No,,Yes
X,,,,,,,Trinity,No,No,No,,,Chemistry,Not interested at all,Slightly interested,Slightly interested,Somewhat favorable,Very likely,No,No,,Public (non-charter),No,15,7,No,No,No,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Economics,Slightly interested,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Very likely,No,No,,Private (non-denominational),No,2,2,Yes,No,Yes,No,,No
,,,X,X,,,Trinity,No,No,No,"$250,000-$500,000",No,Biology,Not interested at all,Not interested at all,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,Yes,No,,Private (parochial),No,12,5,No,No,Yes,No,,No
,X,,,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Environmental Sciences and Policy,Not interested at all,Slightly interested,Slightly interested,Somewhat unfavorable,Somewhat unlikely,No,No,,Public (charter),No,7,6,No,No,Yes,No,,No
X,,,,,,,Pratt,No,No,Yes,"$40,000-$80,000",No,Civil Engineering,Slightly interested,Moderately interested,Moderately interested,Strongly unfavorable,Neither likely nor unlikely,No,No,,Private (non-denominational),No,12,1,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Public Policy Studies,Not interested at all,Moderately interested,Moderately interested,Somewhat unfavorable,Somewhat likely,No,No,,Public (non-charter),No,4,1,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Public Policy Studies,Moderately interested,Very interested,Moderately interested,Somewhat unfavorable,Very likely,Yes,No,,Public (non-charter),No,17,,Yes,No,Yes,No,,No
X,,,X,,,,Trinity,No,No,No,"Above $500,000",No,Psychology,Slightly interested,Very interested,Very interested,Somewhat favorable,Somewhat unlikely,No,No,,Private (non-denominational),Yes,1,1,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$80,000-$125,000",No,Public Policy Studies,Moderately interested,Not interested at all,Not interested at all,Neither favorable nor unfavorable,Very likely,No,No,,Private (non-denominational),No,5,4,Yes,No,Yes,No,,No
,X,,,,,,Pratt,Yes,No,Yes,"$40,000-$80,000",Yes,Mechanical Engineering,Not interested at all,Moderately interested,Moderately interested,Neither favorable nor unfavorable,Somewhat likely,No,No,,Public (charter),No,10,6,No,No,No,No,,No
X,,,,,,,Trinity,No,No,No,"$125,000-$250,000",No,Computer Science,Not interested at all,Very interested,Very interested,Somewhat unfavorable,Somewhat likely,Yes,No,,Public (non-charter),Yes,20,13,No,No,No,Yes,Class of 2024,Yes
,,,X,X,,,Trinity,No,No,No,"Above $500,000",No,Biology,Not interested at all,Not interested at all,Not interested at all,Somewhat unfavorable,Somewhat likely,No,No,,Private (non-denominational),Yes,12,2,Yes,No,Yes,No,,No
,,,X,,,,Pratt,No,No,No,"$125,000-$250,000",Yes,Electrical and Computer Engineering,Slightly interested,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,No,No,,Public (non-charter),No,7,4,No,No,No,No,,Yes
,,,,X,,,Trinity,No,No,No,"$40,000-$80,000",Yes,Biophysics,Not interested at all,Not interested at all,Moderately interested,Somewhat unfavorable,Somewhat unlikely,Yes,Yes,Yes,Public (non-charter),No,15,12,No,No,No,No,,No
,X,,,X,,,Trinity,Yes,No,No,"$40,000-$80,000",Yes,Psychology,Very interested,Very interested,Slightly interested,Somewhat unfavorable,Very likely,No,No,,Private (non-denominational),No,2,2,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",No,Biology,Not interested at all,Slightly interested,Moderately interested,Strongly unfavorable,Somewhat unlikely,No,No,,Public (non-charter),No,8,4,Yes,No,Yes,No,,Yes
X,,,,,,,Trinity,No,No,No,"$250,000-$500,000",No,Biophysics,Not interested at all,Slightly interested,Slightly interested,Somewhat favorable,Very likely,Yes,No,,Public (non-charter),Yes,14,3,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,Yes,"$250,000-$500,000",No,Philosophy,Slightly interested,Slightly interested,Slightly interested,Somewhat unfavorable,Neither likely nor unlikely,No,No,,Private (parochial),No,1,1,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Evolutionary Anthropology,Not interested at all,Moderately interested,Slightly interested,Strongly unfavorable,Somewhat unlikely,Yes,Yes,No,Public (non-charter),No,25,11,No,No,Yes,Yes,Class of 2024,No
X,,,,,,,Trinity,No,No,No,"$250,000-$500,000",Yes,Public Policy Studies,Slightly interested,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Neither likely nor unlikely,Yes,No,,Private (non-denominational),No,18,7,No,No,No,No,,No
X,,,,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Computer Science,Not interested at all,Not interested at all,Not interested at all,Somewhat unfavorable,Neither likely nor unlikely,No,No,,Public (non-charter),No,1,1,Yes,No,Yes,No,,No
,,,,X,X,,Trinity,Yes,No,No,"Below $40,000",Yes,International Comparative Studies,Not interested at all,Not interested at all,Not interested at all,Somewhat unfavorable,Somewhat unlikely,No,No,,Public (non-charter),No,10,3,No,No,No,No,,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Psychology,Not interested at all,Not interested at all,Not interested at all,Strongly favorable,Very likely,No,No,,Private (parochial),No,2,2,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"$125,000-$250,000",No,Music,Not interested at all,Not interested at all,Not interested at all,Somewhat unfavorable,Neither likely nor unlikely,No,No,,Public (non-charter),No,10,2,Yes,No,Yes,No,,No
,,,X,,,,Pratt,No,No,No,"$250,000-$500,000",No,Electrical and Computer Engineering,Slightly interested,Not interested at all,Not interested at all,Neither favorable nor unfavorable,Very likely,No,No,,Public (non-charter),No,13,7,No,No,No,No,,No
,,,X,,,,DKU,No,No,Yes,"$40,000-$80,000",Yes,Biology,Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,No,Prefer not to say,,Private (parochial),No,20,6,No,No,No,Yes,Class of 2024,No
X,,,,,,,Trinity,No,No,No,"Above $500,000",No,Statistical Science,Moderately interested,Very interested,Not interested at all,Strongly unfavorable,Somewhat unlikely,Yes,No,,Private (non-denominational),Yes,2,2,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Biology,Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Neither likely nor unlikely,Yes,Yes,Yes,Private (non-denominational),No,3,3,Yes,No,Yes,No,,Yes
,,X,,,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Economics,Not interested at all,Slightly interested,Slightly interested,Strongly unfavorable,Somewhat likely,No,No,,Public (non-charter),No,3,3,Yes,No,Yes,No,,No
,,,X,,,,Pratt,No,No,No,"$250,000-$500,000",No,Environmental Engineering,Not interested at all,Not interested at all,Not interested at all,Strongly unfavorable,Very unlikely,No,No,,Public (non-charter),Yes,2,2,Yes,No,Yes,Yes,Class of 2024,No
,,,X,,,,Trinity,No,No,No,"$125,000-$250,000",No,Chemistry,Not interested at all,Not interested at all,Not interested at all,Strongly unfavorable,Somewhat likely,Yes,Yes,No,Public (non-charter),No,1,1,Yes,No,Yes,No,,No
X,,,,,,,Trinity,No,No,No,"$125,000-$250,000",Yes,Statistical Science,Not interested at all,Slightly interested,Slightly interested,Strongly unfavorable,Very unlikely,No,No,,Public (non-charter),No,12,5,No,No,No,No,,Yes
X,,,,,,,Pratt,No,No,Yes,"$250,000-$500,000",No,Biomedical Engineering,Very interested,Not interested at all,Moderately interested,Strongly unfavorable,Somewhat likely,No,No,,Private (parochial),No,14,10,No,Yes,No,No,,No
X,,,,,,,DKU,No,No,Yes,"Below $40,000",Yes,Mathematics,Not interested at all,Not interested at all,Not interested at all,Somewhat favorable,Very unlikely,No,No,,Other,No,35,6,No,No,No,Yes,Class of 2024,No
,X,,,,,,Trinity,Yes,No,No,"Below $40,000",Yes,Computer Science,Not interested at all,Not interested at all,Not interested at all,Neither favorable nor unfavorable,Somewhat likely,No,No,,Public (charter),No,10,10,Yes,No,Yes,No,,No
,,,X,X,,,Trinity,No,No,No,"$125,000-$250,000",No,Biology,Not interested at all,Moderately interested,Very interested,Neither favorable nor unfavorable,Very likely,Yes,Prefer not to say,,Public (non-charter),No,12,6,Yes,No,Yes,No,,No
,,,X,X,,,Trinity,No,No,No,"$80,000-$125,000",Yes,Public Policy Studies,Extremely interested,Slightly interested,Not interested at all,Neither favorable nor unfavorable,Very likely,No,No,,Private (non-denominational),No,13,1,Yes,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,Neuroscience,Not interested at all,Slightly interested,Slightly interested,Strongly unfavorable,Very unlikely,No,Yes,No,Public (non-charter),Yes,22,11,No,No,No,No,,No
X,,,,,,,Trinity,No,No,No,"$250,000-$500,000",No,Biology,Slightly interested,Very interested,Extremely interested,Strongly unfavorable,Somewhat likely,Yes,No,,Private (non-denominational),No,14,12,No,No,No,No,,No
,,,X,,,,Trinity,No,No,Yes,"$250,000-$500,000",No,Neuroscience,Very interested,Very interested,Very interested,Neither favorable nor unfavorable,Very likely,No,No,,Private (non-denominational),No,13,8,No,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"Above $500,000",No,Computer Science,Very interested,Very interested,Not interested at all,Neither favorable nor unfavorable,Somewhat likely,Yes,No,,Public (non-charter),No,20,16,No,No,Yes,No,,No
,,,X,,,,Trinity,No,No,No,"$250,000-$500,000",No,English,Not interested at all,Very interested,Slightly interested,Somewhat unfavorable,Somewhat likely,Yes,Yes,Yes,Public (non-charter),No,12,6,No,No,No,Yes,Class of 2024,Yes
X,,,,,,,Pratt,No,No,No,"$250,000-$500,000",No,Biomedical Engineering,Slightly interested,Slightly interested,Slightly interested,Strongly unfavorable,Neither likely nor unlikely,No,No,,Public (non-charter),No,16,8,No,No,No,No,,No
,,,X,,,,Trinity,No,No,No,"Above $500,000",No,Computer Science,Moderately interested,Not interested at all,Extremely interested,Strongly unfavorable,Somewhat likely,No,No,,Private (non-denominational),Yes,2,2,Yes,No,Yes,No,,Yes
,,,X,,,,Trinity,No,No,No,"$40,000-$80,000",Yes,Chemistry,Not interested at all,Not interested at all,Not interested at all,Strongly unfavorable,Somewhat unlikely,No,Yes,No,Public (non-charter),No,2,2,Yes,No,Yes,No,,No
