Q3,Q4,Q40,Q91,Q41,Q42,Q43,Q5,Q6,Q7,Q9,Q11,Q44,Q23,Q21,Q41,Q43,Q45,Q92,Q93,Q94,Q95,Q96,Q97,Q98,Q65,Q57,Q58,Q100,Q101,Q103,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q123,Q115,Q116,Q117,Q118,Q82,Q122,Q13,Q15,Q17,Q19,Q25,Q27,Q29,Q31,Q33,Q71,Q35,Q119,Q120,Q37,Q46,Q49,Q51,Q53,Q72,Q74,Q75,Q121,Q55
Pratt,Asian,Man,Yes,Heterosexual,No,No,No,NC,27513,,,Suburban,"$125,000-$250,000",Yes,Electrical and Computer Engineering,Not interested at all,Moderately interested,Slightly interested,Strongly unfavorable,Somewhat likely,No,,Somewhat agree,Clubs / Extracurriculars,A moderate amount,No,No,Somewhat favorable,Somewhat,Quite a bit,8-10,0-2,3-5,3-5,3-5,Quite a bit,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),Study Connect (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Career Center",None of these,DuWell,None of these,Student Health at the Student Wellness Center,None of these,Women’s Center,None of these,No,,3.9,SAT,1590,,Private (non-denominational),No,2,2,Yes,No,Yes,No,,No,Academics and interdisciplinary curriculum,Atheist,Not very religious,Somewhat liberal,Yes,I am from Durham; I am voting in Durham,No,,
Trinity,White,Woman,Yes,Bisexual,No,No,No,CA,92118,,,Suburban,"$250,000-$500,000",No,Neuroscience,Not interested at all,Moderately interested,Slightly interested,Neither favorable nor unfavorable,Very likely,No,,Strongly agree,Dorm,A little,Yes,Yes,Somewhat unfavorable,Somewhat,Quite a bit,4-7,3-5,0-2,3-5,0-2,Very much,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),Thompson Writing Program Writing Studio,Pre-professional advising,Career Center",None of these,"Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline","Student Health at the Student Wellness Center,Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Duke Health COVID-19 Hotline","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",None of these,No,,4,SAT,1530,,Public (non-charter),Yes,,,Yes,No,Yes,No,,Yes,Student life / campus culture,Atheist,Not at all religious,Very liberal,Yes,I am NOT from Durham; I am voting at home,,,"Drank alcohol,Had sex"
Pratt,White,Man,Yes,Heterosexual,No,No,No,CO,80112,,,Suburban,"$125,000-$250,000",Yes,Mechanical Engineering,Slightly interested,Very interested,Not interested at all,Somewhat unfavorable,Somewhat likely,Yes,"Global Energy: Past, Present, and Future",Strongly agree,Other,A little,No,Yes,Somewhat unfavorable,A little,Quite a bit,11-13,3-5,0-2,0-2,3-5,Very much,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),Study Connect (ARC),Ask a Librarian (Duke Libraries),Pre-professional advising,Career Center",None of these,"Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center",Weight/exercise rooms at Wilson Recreation Center,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",None of these,No,,4,SAT,1500,,Public (non-charter),No,11,2,Yes,No,Yes,No,,No,"Duke’s ""brand name""",Catholic,Very religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting in Durham,Yes,Elaine O’Neal,"Drank alcohol,Had sex,Obtained a fake ID"
Pratt,White,Man,Yes,Heterosexual,No,No,No,TX,75225,,,Urban,"Above $500,000",No,Biomedical Engineering,Very interested,Very interested,Slightly interested,Somewhat unfavorable,Somewhat likely,No,,Somewhat agree,Classes,A moderate amount,No,No,Somewhat favorable,Quite a bit,Quite a bit,8-10,3-5,3-5,0-2,3-5,Very much,"Group tutoring (Academic Resource Center),Thompson Writing Program Writing Studio,Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Student Disability Access Office,Career Center",None of these,"Duke Reach,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center",None of these,"Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",None of these,No,,4,"SAT,ACT",1520,36,Private (non-denominational),Yes,17,1,Yes,No,Yes,No,,Yes,Student life / campus culture,Agnostic,Not very religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting in Durham,No,,Drank alcohol
Trinity,White,Woman,Yes,Heterosexual,No,No,No,NC,28906,,,Rural,"$40,000-$80,000",Yes,Public Policy Studies,Not interested at all,Moderately interested,Very interested,Somewhat favorable,Somewhat unlikely,Yes,The American Experiences,Somewhat agree,Dorm,A little,No,Yes,Somewhat favorable,A little,A little,8-10,8+,3-5,6+,3-5,Quite a bit,"Group tutoring (Academic Resource Center),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Subject Specialists (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center","Thompson Writing Program Writing Studio,Directors of Academic Engagement (Academic Advising Center)","Two Click to Connect Form,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center","Group fitness classes at Wilson Recreation Center (spin, yoga, etc)","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)","Women’s Center,Freeman Center for Jewish Life",No,,4,ACT,,35,Public (non-charter),No,2,2,Yes,No,Yes,No,,No,"Duke’s ""brand name""",Protestant,Very religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,Had sex
Trinity,"White,Asian",Woman,Yes,Questioning,No,No,No,NC,27517,,,Suburban,"$80,000-$125,000",Yes,"Program II (self-designed degree, BA or BS)",Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Very unlikely,No,,Neither agree nor disagree,Clubs / Extracurriculars,A moderate amount,No,No,Somewhat favorable,A little,Somewhat,8-10,3-5,3-5,0-2,0-2,Quite a bit,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),STEM Advancement through Group Engagement Program (SAGE) (ARC),Study Connect (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center","Group tutoring (Academic Resource Center),Drop-in tutoring (ARC)","Duke Reach,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Arts Annex",Arts Annex,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Disability Cultural Center,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",Center for Sexual and Gender Diversity,Yes,Yes,4,SAT,1580,,Public (non-charter),No,25,13,No,No,No,Yes,Class of 2024,No,Academics and interdisciplinary curriculum,Jewish,Not very religious,Very liberal,Yes,I am NOT from Durham; I am voting in Durham,No,,
Trinity,White,Woman,Yes,Gay / Lesbian,No,No,No,VA,22046,,,Suburban,"$125,000-$250,000",No,Environmental Engineering,Not interested at all,Not interested at all,Very interested,Somewhat favorable,Very unlikely,No,,Strongly agree,Dorm,A little,No,Yes,Somewhat unfavorable,Not at all,A little,14+,3-5,0-2,0-2,0-2,Quite a bit,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),STEM Advancement through Group Engagement Program (SAGE) (ARC),GRE/MCAT Prep (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Subject Specialists (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Student Disability Access Office,Career Center","Drop-in tutoring (ARC),Thompson Writing Program Writing Studio,Directors of Academic Engagement (Academic Advising Center),Student Disability Access Office","Duke Reach,Two Click to Connect Form,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell","Duke Reach,Counseling and Psychological Services (CAPS)","Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Arts Annex",Arts Annex,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House","Freeman Center for Jewish Life,Center for Sexual and Gender Diversity",Yes,Yes,4,SAT,1520,,Public (non-charter),No,18,15,No,No,Yes,No,,No,Academics and interdisciplinary curriculum,Jewish,Not very religious,Very liberal,Yes,I am NOT from Durham; I am voting in Durham,No,,Drank alcohol
Pratt,"White,Hispanic or Latinx/e,Black or African American",Man,Yes,Heterosexual,No,No,No,CO,80127,,,Suburban,"$250,000-$500,000",Yes,Electrical and Computer Engineering,Very interested,Moderately interested,Moderately interested,Strongly unfavorable,Very likely,No,,Strongly agree,Other,A little,No,Yes,Somewhat unfavorable,A little,Very much,14+,0-2,0-2,0-2,3-5,Very much,"Pre-professional advising,Career Center",None of these,Counseling and Psychological Services (CAPS),None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center",Weight/exercise rooms at Wilson Recreation Center,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Disability Cultural Center,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",Mary Lou Williams Center for Black Culture,Yes,No,4,SAT,1440,,Public (non-charter),No,18,14,No,No,Yes,No,,No,Pre-professional opportunities and alumni network,Agnostic,Not very religious,Somewhat conservative,Yes,I am NOT from Durham; I am voting at home,,,"Drank alcohol,Used drugs,Had sex"
Trinity,White,Woman,Yes,Bisexual,No,No,No,NC,28079,,,Rural,"$125,000-$250,000",Yes,Computer Science,Not interested at all,Very interested,Moderately interested,Strongly unfavorable,Very likely,No,,Strongly agree,Other,None at all,No,Yes,Somewhat unfavorable,Somewhat,Quite a bit,8-10,3-5,0-2,3-5,0-2,Very much,"Drop-in tutoring (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Subject Specialists (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Career Center","Ask a Librarian (Duke Libraries),Directors of Academic Engagement (Academic Advising Center)","Blue Devils Care,Counseling and Psychological Services (CAPS)","Blue Devils Care,Counseling and Psychological Services (CAPS)","Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Duke Health COVID-19 Hotline",Student Health at the Student Wellness Center,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",Women’s Center,Yes,Yes,4,ACT,,30,Public (non-charter),No,3,3,Yes,No,Yes,No,,Yes,Academics and interdisciplinary curriculum,Atheist,Not at all religious,Very liberal,Yes,I am NOT from Durham; I am voting at home,,,"Drank alcohol,Used drugs"
Trinity,White,Man,Yes,Heterosexual,No,No,Yes,,,Tirana,Albania,Urban,"$40,000-$80,000",Yes,Statistical Science,Slightly interested,Not interested at all,Slightly interested,Somewhat unfavorable,Neither likely nor unlikely,No,,Somewhat agree,Orientation Week,A little,No,No,Strongly favorable,Somewhat,Somewhat,4-7,6-7,0-2,0-2,0-2,Very much,"STEM Advancement through Group Engagement Program (SAGE) (ARC),Ask a Librarian (Duke Libraries),Career Center","STEM Advancement through Group Engagement Program (SAGE) (ARC),Ask a Librarian (Duke Libraries)",None of these,None of these,Student Health at the Student Wellness Center,Student Health at the Student Wellness Center,"Mary Lou Williams Center for Black Culture,International House","Mary Lou Williams Center for Black Culture,International House",No,,4,SAT,1490,,Private (non-denominational),No,8,1,Yes,No,Yes,No,,Yes,Academics and interdisciplinary curriculum,Agnostic,Not at all religious,Moderate,Ineligible to vote,,,,"Drank alcohol,Had sex"
Trinity,White,Man,Yes,Heterosexual,No,No,No,TX,77019,,,Urban,"Above $500,000",No,Mathematics,Not interested at all,Not interested at all,Not interested at all,Somewhat unfavorable,Somewhat likely,No,,Strongly agree,Orientation Week,A little,No,Yes,Somewhat favorable,A little,Not at all,8-10,3-5,0-2,0-2,3-5,Quite a bit,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Pre-professional advising,Student Disability Access Office,Career Center",None of these,"Blue Devils Care,Counseling and Psychological Services (CAPS)",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Arts Annex",Weight/exercise rooms at Wilson Recreation Center,"Women’s Center,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Disability Cultural Center,International House",Center for Sexual and Gender Diversity,Yes,Yes,3.9,SAT,1600,,Private (non-denominational),Yes,2,2,Yes,No,Yes,No,,Yes,Academics and interdisciplinary curriculum,Atheist,Not at all religious,Somewhat conservative,Yes,I am NOT from Durham; I am voting at home,,,"Drank alcohol,Used drugs,Had sex,Obtained a fake ID"
Trinity,"White,Asian",Woman,Yes,Heterosexual,No,No,No,NC,27705,,,Suburban,"$250,000-$500,000",No,Undecided,Not interested at all,Slightly interested,Moderately interested,Somewhat unfavorable,Somewhat unlikely,No,,Neither agree nor disagree,Other,A moderate amount,No,Yes,Somewhat favorable,Somewhat,Somewhat,8-10,3-5,0-2,3-5,0-2,A little,"Group tutoring (Academic Resource Center),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Career Center",None of these,"Counseling and Psychological Services (CAPS),DuWell",None of these,"Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Duke Health COVID-19 Hotline,Arts Annex","Group fitness classes at Wilson Recreation Center (spin, yoga, etc)","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",None of these,Yes,No,4,ACT,,32,Private (non-denominational),No,4,1,Yes,No,Yes,No,,Yes,Academics and interdisciplinary curriculum,Atheist,Not at all religious,Very liberal,Yes,I am from Durham; I am voting in Durham,No,,Drank alcohol
Trinity,White,Woman,Yes,Heterosexual,No,No,No,MA,02492,,,Suburban,"$125,000-$250,000",No,Public Policy Studies,Not interested at all,Moderately interested,Slightly interested,Somewhat unfavorable,Somewhat likely,Yes,Knowledge in the Service of Society,Somewhat agree,Orientation Week,A lot,No,Yes,Somewhat unfavorable,A little,Very much,8-10,3-5,0-2,3-5,0-2,Very much,"Subject Specialists (Duke Libraries),Pre-professional advising,Career Center",None of these,"Duke Reach,Two Click to Connect Form,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell,Peer for You","Blue Devils Care,Counseling and Psychological Services (CAPS)","Student Health at the Student Wellness Center,Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline","Group fitness classes at Wilson Recreation Center (spin, yoga, etc)","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",None of these,No,,3.9,SAT,1520,,Public (non-charter),Yes,1,1,Yes,No,Yes,No,,No,Academics and interdisciplinary curriculum,Other,Somewhat religious,Very liberal,Yes,I am NOT from Durham; I am voting at home,,,"Drank alcohol,Obtained a fake ID"
Trinity,Asian,Woman,Yes,Heterosexual,No,No,No,GA,30024,,,Suburban,,No,Environmental Engineering,Not interested at all,Slightly interested,Moderately interested,Somewhat unfavorable,Somewhat unlikely,Yes,"Genetics and Genomics: Epigenetics, Environment, and Ethics",Somewhat agree,Classes,A moderate amount,No,Yes,Strongly favorable,A little,Somewhat,8-10,3-5,0-2,0-2,0-2,Don’t know,"STEM Advancement through Group Engagement Program (SAGE) (ARC),Ask a Librarian (Duke Libraries),Subject Specialists (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Student Disability Access Office,Career Center",Student Disability Access Office,"Two Click to Connect Form,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline,Arts Annex",Student Health at the Student Wellness Center,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House","Freeman Center for Jewish Life,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",No,,4,SAT,1570,,Public (non-charter),Yes,5,5,Yes,No,Yes,Yes,Class of 2024,No,Student life / campus culture,Hindu,Somewhat religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,
Trinity,White,Woman,Yes,Bisexual,No,No,No,NY,10025,,,Urban,"$250,000-$500,000",No,Public Policy Studies,Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,Yes,Humanitarian Challenges,Somewhat agree,Orientation Week,A moderate amount,No,Yes,Somewhat favorable,Quite a bit,Quite a bit,11-13,3-5,0-2,3-5,0-2,Very much,"Drop-in tutoring (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center","Thompson Writing Program Writing Studio,Career Center","Duke Reach,Two Click to Connect Form,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",None of these,"Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline,Arts Annex","Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Arts Annex","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",Freeman Center for Jewish Life,No,,3.95,ACT,,35,Private (non-denominational),No,10,4,Yes,No,Yes,No,,No,Academics and interdisciplinary curriculum,Jewish,Somewhat religious,Somewhat liberal,No,,,,
Trinity,White,Woman,Yes,Heterosexual,No,No,No,VA,23059,,,Suburban,"$80,000-$125,000",Yes,Psychology,Moderately interested,Slightly interested,Not interested at all,Strongly unfavorable,Somewhat unlikely,No,,Somewhat agree,Clubs / Extracurriculars,A moderate amount,No,Yes,Somewhat unfavorable,Somewhat,Quite a bit,8-10,6-7,3-5,3-5,0-2,Very much,"Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Subject Specialists (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center",None of these,"Duke Reach,Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",Counseling and Psychological Services (CAPS),"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline,Diet and nutrition lecture courses through the Department of Health, Wellness, and Physical Education (HWPE),Outdoor Adventures with Personal Trip Plans,Arts Annex","Group fitness classes at Wilson Recreation Center (spin, yoga, etc)","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Disability Cultural Center,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",None of these,Yes,Yes,4,SAT,1520,,Public (non-charter),No,1,1,Yes,No,Yes,No,,Yes,Student life / campus culture,Other,Somewhat religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,"Drank alcohol,Had sex"
Trinity,White,Woman,Yes,Questioning,No,No,No,AR,72211,,,Suburban,"$250,000-$500,000",No,Global Health**,Not interested at all,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,No,,Somewhat agree,Dorm,A little,No,Yes,Neither favorable nor unfavorable,Somewhat,Quite a bit,8-10,3-5,0-2,3-5,0-2,Very much,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),STEM Advancement through Group Engagement Program (SAGE) (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Directors of Academic Engagement (Academic Advising Center)","Group tutoring (Academic Resource Center),Thompson Writing Program Writing Studio","Duke Reach,Blue Devils Care,Counseling and Psychological Services (CAPS)",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Duke Health COVID-19 Hotline,Outdoor Adventures with Personal Trip Plans","Student Health at the Student Wellness Center,Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House","Freeman Center for Jewish Life,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",Yes,No,4,ACT,,34,Public (non-charter),No,4,4,Yes,No,Yes,No,,Yes,Academics and interdisciplinary curriculum,Protestant,Not very religious,Very liberal,Yes,I am NOT from Durham; I am voting in Durham,No,,"Drank alcohol,Used drugs,Had sex"
Trinity,Asian,Woman,Yes,Heterosexual,No,No,No,NC,27514,,,Suburban,,,Chemistry,Not interested at all,Slightly interested,Slightly interested,Somewhat favorable,Very likely,No,,Strongly agree,Dorm,A moderate amount,No,Yes,Somewhat favorable,Not at all,Not at all,11-13,3-5,0-2,6+,3-5,A little,"Group tutoring (Academic Resource Center),STEM Advancement through Group Engagement Program (SAGE) (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Directors of Academic Engagement (Academic Advising Center)",None of these,"Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Arts Annex","Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center","Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)","Freeman Center for Jewish Life,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",No,,4,SAT,1540,,Public (non-charter),No,15,7,No,No,No,No,,No,Academics and interdisciplinary curriculum,Agnostic,Not at all religious,Somewhat liberal,Yes,I am NOT from Durham; I am voting at home,,,
Trinity,White,Man,Yes,Heterosexual,No,No,No,TN,38117,,,Urban,"$250,000-$500,000",No,Economics,Slightly interested,Slightly interested,Slightly interested,Neither favorable nor unfavorable,Very likely,No,,Somewhat agree,Dorm,A moderate amount,No,No,Neither favorable nor unfavorable,Not at all,Somewhat,8-10,3-5,0-2,0-2,6+,Not at all,"Group tutoring (Academic Resource Center),Drop-in tutoring (ARC),STEM Advancement through Group Engagement Program (SAGE) (ARC),Study Connect (ARC),Thompson Writing Program Writing Studio,Ask a Librarian (Duke Libraries),Directors of Academic Engagement (Academic Advising Center),Pre-professional advising,Career Center",STEM Advancement through Group Engagement Program (SAGE) (ARC),"Blue Devils Care,Counseling and Psychological Services (CAPS),DuWell",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Group fitness classes at Wilson Recreation Center (spin, yoga, etc),Weight/exercise rooms at Wilson Recreation Center,Diet and nutrition lecture courses through the Department of Health, Wellness, and Physical Education (HWPE)",Weight/exercise rooms at Wilson Recreation Center,"Women’s Center,Center for Muslim Life,Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Mary Lou Williams Center for Black Culture,Disability Cultural Center,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit),International House",None of these,No,,4,ACT,,35,Private (non-denominational),No,2,2,Yes,No,Yes,No,,No,Academics and interdisciplinary curriculum,Protestant,Somewhat religious,Moderate,No,,,,
Trinity,"White,Hispanic or Latinx/e",Woman,Yes,Heterosexual,No,No,No,FL,32804,,,Urban,"$250,000-$500,000",No,Biology,Not interested at all,Not interested at all,Slightly interested,Neither favorable nor unfavorable,Somewhat likely,Yes,Humanitarian Challenges,Strongly agree,Orientation Week,A moderate amount,No,Yes,Somewhat favorable,Somewhat,Not at all,8-10,3-5,0-2,0-2,0-2,Quite a bit,None of these,None of these,"Duke Reach,DuWell,DukeLine",None of these,"Student Health at the Student Wellness Center,Activities at the Student Wellness Center (guided meditations, yoga, tea tastings, meditative art, koru mindfulness, close-knit, meditation garden),Arts Annex",None of these,"Freeman Center for Jewish Life,Center for Sexual and Gender Diversity,Center for Multicultural Affairs (includes La Casa, AAPI Base, Wekit)",None of these,No,,3.96,"SAT,ACT",1490,35,Private (parochial),No,12,5,No,No,Yes,No,,No,Academics and interdisciplinary curriculum,Catholic,Somewhat religious,Somewhat liberal,No,,,,Drank alcohol
